Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Grönliden;150440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-02-02 06:00:00;2019-01-09 12:00:00;300.0;64.7301;20.1927
1945-01-01 00:00:00;2014-02-02 05:59:59;300.0;64.7301;20.1927

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2018-12-14 06:00:01;2018-12-15 06:00:00;2018-12-14;0.0;G
2018-12-15 06:00:01;2018-12-16 06:00:00;2018-12-15;0.0;G
2018-12-16 06:00:01;2018-12-17 06:00:00;2018-12-16;0.2;G
2018-12-17 06:00:01;2018-12-18 06:00:00;2018-12-17;3.5;G
2018-12-18 06:00:01;2018-12-19 06:00:00;2018-12-18;2.4;G
2018-12-19 06:00:01;2018-12-20 06:00:00;2018-12-19;0.8;G
2018-12-20 06:00:01;2018-12-21 06:00:00;2018-12-20;0.0;G
2018-12-21 06:00:01;2018-12-22 06:00:00;2018-12-21;2.0;G
2018-12-22 06:00:01;2018-12-23 06:00:00;2018-12-22;1.0;G
2018-12-23 06:00:01;2018-12-24 06:00:00;2018-12-23;0.0;G
2018-12-24 06:00:01;2018-12-25 06:00:00;2018-12-24;0.0;G
2018-12-25 06:00:01;2018-12-26 06:00:00;2018-12-25;0.4;G
2018-12-26 06:00:01;2018-12-27 06:00:00;2018-12-26;0.2;G
2018-12-27 06:00:01;2018-12-28 06:00:00;2018-12-27;0.0;G
2018-12-28 06:00:01;2018-12-29 06:00:00;2018-12-28;0.6;G
2018-12-29 06:00:01;2018-12-30 06:00:00;2018-12-29;0.0;G
2018-12-30 06:00:01;2018-12-31 06:00:00;2018-12-30;0.0;G
2018-12-31 06:00:01;2019-01-01 06:00:00;2018-12-31;7.2;G
